k,inertia,silhouette_score
2,26529.09595113533,0.19764377631734972
3,24036.050111769782,0.17758247984525996
4,21776.39693562819,0.14470112902575952
5,20304.8434809856,0.14257309906773463
6,19074.4320278805,0.1402249218587944
7,18176.260708817805,0.13546480479067785
8,17451.484361932624,0.12494809030045684
9,16811.689047044336,0.1292140381053526
10,16267.5968673523,0.1309063284014288
11,15870.925172849895,0.12338548463802629
12,15386.82532513465,0.12027145914734652
13,15014.854425661755,0.12123780393839798
14,14680.423154007665,0.12143552392053449
15,14381.969847463812,0.11841086871338949
