,PC1,PC2,PC3,country,cluster
0,-1.5045851137122586,3.655849965094153,1.5091886501481058,argentina,1
1,-0.12276573605432377,-2.2498516763980305,1.1850558550182886,australia,0
2,-1.3372065853772757,-1.4603882097080336,0.13985457477185634,austria,0
3,-0.6042730798793461,-0.5758889501429282,-0.9116257916042604,belgium,0
4,0.30334840037565786,3.1150872065274218,1.870943103625138,bolivia,1
5,0.679777836508529,2.0947038403083664,3.9756924557688174,brazil,1
6,-6.015272534573164,-3.1664976684993045,1.8725150584432033,bulgaria,4
7,0.6001155364958504,-2.685321280653355,0.6259386809931968,canada,0
8,-0.9262468034794002,4.579383945862673,1.6353450649781203,chile,1
9,0.5408351109838873,3.6449719444648427,1.39283598467269,colombia,1
10,0.6359390011351277,2.235035600037559,0.4938221935030732,costa_rica,1
11,0.9467082282496612,-0.41621479047124077,-1.7583287567464552,czech_republic,3
12,-2.0500320430348293,-2.090510031424705,1.0405768993844267,denmark,0
13,-0.47782130985061894,3.295996414249715,0.7585951034279976,dominican_republic,1
14,0.3759870281356903,3.222493321125091,1.3070392969047206,ecuador,1
15,-0.17519006443195229,1.0597168125085754,-2.8701919154184905,egypt,3
16,0.06881177656586515,3.2747370316430096,1.0404176081723167,el_salvador,1
17,-0.510964497162047,-1.4088240695584116,0.04489427295993567,estonia,0
18,-0.07946411740535507,-1.7215699223238257,0.3878335662051282,finland,0
19,-3.923523424414238,1.5275488743740142,-2.180201086338466,france,5
20,-1.853034295733197,-0.5254422124353659,-0.9232738262838238,germany,0
21,-5.650867694985055,-1.5626315009581824,-4.095466319203357,greece,5
22,2.2521710655609573,3.214915258894537,1.085563343288289,guatemala,1
23,0.05360863858397947,2.8636040498288695,0.5341781983347127,honduras,1
24,3.3858693250816145,-3.4802114910240425,1.1102255993963015,hong_kong,2
25,-2.180033147442473,-0.4227481673719741,0.296083390640071,hungary,0
26,4.930957982695823,-1.4184396341242222,-3.6356426002192443,iceland,3
27,2.5930460438154466,2.022493667402813,-1.170641008010139,india,3
28,9.237385115215684,-1.2132092569754407,-0.9651509721768443,indonesia,2
29,0.007115401348444259,-3.491506533049083,1.2679003604310506,ireland,0
30,1.8541655851507104,0.16581944613863422,-1.6287353754121086,israel,3
31,-6.031489809703726,-2.873192483763894,1.4010149823403975,italy,4
32,-2.1633427493628523,-3.7438134719567167,6.14335002098297,japan,4
33,0.5218801678738243,-0.9858937106118156,-1.2557825843042851,latvia,0
34,-1.2329113734116064,-1.6249772850479622,0.5854299185690426,lithuania,0
35,-0.8064462228237449,-0.8299355180814296,-0.10964108093754214,luxembourg,0
36,0.820868371784036,-3.147724134685469,1.968717274286059,malaysia,0
37,3.061875772778777,2.8238388371406344,2.0134730102652663,mexico,1
38,-1.275923531823391,1.2996687536883602,-5.2243475306404665,morocco,5
39,0.47012722747822766,-0.6498874645629997,-0.5858714481614127,netherlands,0
40,2.040949503516337,-1.4270824564783677,-0.0783909556110005,new_zealand,0
41,-0.4664431397166283,2.8555697081801568,0.6164862545214402,nicaragua,1
42,1.0575206265578134,-1.7247719445270353,-0.5277813558501177,norway,0
43,-0.06871607895263163,3.0395480390185488,0.45685526842734175,panama,1
44,-0.8626456222696949,4.301674407775501,1.8242424471528655,paraguay,1
45,0.3520115874492877,3.0000081335618023,1.9320610929916646,peru,1
46,4.541504841748589,-2.212929603820731,-0.047517964907243186,philippines,2
47,-2.905005127447849,-0.933248959409378,-1.6366093994673425,poland,5
48,2.0704648323934327,0.20342440975430026,0.12610460660748732,portugal,3
49,-2.209283382159919,0.27782918354598934,-1.4923299522260454,romania,5
50,-3.22161404773519,0.6971634627583035,-3.0761815175351326,russia,5
51,-0.5127775927579749,0.8119145934995361,-0.32992077573445105,saudi_arabia,0
52,1.3014492788307148,-3.5640604064733172,1.586145632947724,singapore,0
53,1.1798309221196697,-0.2809763102358275,-3.234205421639578,slovakia,3
54,-4.642861851655643,-0.9304011484385912,-5.759400900387543,south_africa,5
55,-4.3928174279739745,-2.3132182887786605,3.578753392144976,south_korea,4
56,-1.2228791139611428,3.66700582197593,1.2112523506038142,spain,1
57,4.764540793298686,-0.14539008077730275,-2.4981602473563065,sweden,3
58,-0.42261423007618837,-0.955004363293108,-0.2939071489627547,switzerland,0
59,3.709265824725122,-4.483585834869169,1.0481325459352768,taiwan,2
60,4.540783876406638,0.28855421411481075,0.48891068109755603,thailand,2
61,1.868175031454692,1.4443184168578511,-3.063991886346134,turkey,3
62,-3.5712485011880317,0.8060177303639787,-2.9675783519839327,ukraine,5
63,0.7282098590319674,-1.765501118093133,1.1388709622225826,uae,0
64,-0.05990335669648419,-3.520037842246668,1.2699585986120037,united_kingdom,0
65,-0.39616692152861804,-2.090435035954493,0.5429064499183239,united_states,0
66,-2.0537371739194783,3.2698678342166505,1.7514782257477557,uruguay,1
67,4.4348071093495625,-0.6674380676884151,-0.9377668029775061,vietnam,2
